date,age_group_0,age_group_1,age_group_2,age_group_3
05.08.20,136.0,178.0,38.0,10.0
06.08.20,156.0,176.0,30.0,0.0
07.08.20,120.0,168.0,32.0,2.0
08.08.20,154.0,176.0,32.0,4.0
09.08.20,142.0,136.0,22.0,4.0
10.08.20,110.0,84.0,16.0,0.0
11.08.20,184.0,150.0,38.0,2.0
12.08.20,264.0,230.0,52.0,2.0
13.08.20,246.0,186.0,30.0,6.0
14.08.20,248.0,246.0,36.0,6.0
15.08.20,276.0,194.0,34.0,2.0
