date,age_group_0,age_group_1,age_group_2,age_group_3
22.07.20,330.0,287.0,58.0,21.0
23.07.20,357.0,255.0,65.0,22.0
24.07.20,417.0,308.0,65.0,19.0
25.07.20,246.0,232.0,48.0,16.0
26.07.20,91.0,99.0,16.0,5.0
27.07.20,265.0,193.0,43.0,25.0
28.07.20,359.0,296.0,67.0,25.0
29.07.20,450.0,354.0,78.0,25.0
30.07.20,446.0,314.0,70.0,25.0
31.07.20,461.0,348.0,72.0,38.0
01.08.20,294.0,215.0,38.0,14.0
02.08.20,143.0,113.0,29.0,16.0
03.08.20,399.0,301.0,59.0,25.0
04.08.20,464.0,360.0,98.0,23.0
05.08.20,617.0,388.0,87.0,18.0
06.08.20,611.0,424.0,99.0,30.0
07.08.20,557.0,368.0,63.0,15.0
08.08.20,410.0,231.0,50.0,18.0
09.08.20,189.0,106.0,15.0,8.0
10.08.20,606.0,406.0,60.0,28.0
11.08.20,692.0,409.0,69.0,22.0
12.08.20,926.0,489.0,98.0,31.0
13.08.20,902.0,496.0,71.0,22.0
14.08.20,826.0,442.0,80.0,26.0
15.08.20,444.0,234.0,51.0,22.0
