date,age_group_0,age_group_1,age_group_2,age_group_3
13.07.20,92.0,70.0,18.0,2.0
14.07.20,22.0,22.0,4.0,0.0
15.07.20,36.0,18.0,6.0,2.0
16.07.20,18.0,32.0,10.0,4.0
17.07.20,32.0,50.0,12.0,4.0
18.07.20,,,,
19.07.20,,,,
20.07.20,,,,
21.07.20,24.0,48.0,8.0,0.0
22.07.20,48.0,34.0,10.0,4.0
23.07.20,28.0,36.0,20.0,0.0
24.07.20,50.0,26.0,14.0,2.0
25.07.20,,,,
26.07.20,,,,
27.07.20,,,,
28.07.20,24.0,20.0,14.0,2.0
29.07.20,36.0,66.0,12.0,0.0
30.07.20,48.0,106.0,22.0,6.0
31.07.20,54.0,64.0,8.0,2.0
01.08.20,,,,
02.08.20,,,,
03.08.20,,,,
04.08.20,68.0,66.0,18.0,2.0
05.08.20,90.0,118.0,16.0,0.0
06.08.20,88.0,126.0,26.0,2.0
07.08.20,118.0,116.0,34.0,4.0
08.08.20,,,,
09.08.20,,,,
10.08.20,,,,
11.08.20,160.0,100.0,26.0,2.0
12.08.20,98.0,104.0,20.0,0.0
13.08.20,158.0,108.0,22.0,0.0
14.08.20,182.0,128.0,18.0,2.0
15.08.20,,,,
