date,age_group_0,age_group_1,age_group_2,age_group_3
02.03.20,,,,
03.03.20,21.0,60.0,32.0,13.0
04.03.20,18.0,55.0,51.0,15.0
05.03.20,11.0,77.0,58.0,20.0
06.03.20,11.0,94.0,68.0,29.0
07.03.20,20.285714285714292,103.71428571428572,88.0,27.0
08.03.20,19.24980483996878,118.75019516003123,72.0,33.0
09.03.20,35.977085916333735,187.0229140836662,164.0,58.0
10.03.20,30.9873949579832,174.01260504201684,164.0,51.0
11.03.20,44.01461988304094,195.98538011695905,209.0,79.0
12.03.20,42.00068623940806,231.99931376059203,214.0,88.0
13.03.20,49.99551638837354,274.00448361162637,249.0,102.0
14.03.20,48.21814945179425,283.7818505482058,253.0,109.0
15.03.20,67.29997825383342,281.70002174616644,294.0,115.0
16.03.20,70.19340615535916,385.80659384464104,435.0,166.0
17.03.20,53.286018959105476,298.7139810408944,315.0,158.0
18.03.20,43.9656783652634,335.0343216347368,307.0,177.0
19.03.20,52.286997120766955,300.7130028792328,307.0,165.0
20.03.20,70.4442269345464,368.55577306545365,367.0,193.0
21.03.20,55.98191598620794,316.0180840137923,297.0,204.0
22.03.20,53.2325109831273,282.7674890168728,240.0,173.0
23.03.20,86.84292584866708,410.1570741513324,402.0,300.0
24.03.20,64.5232592057197,339.4767407942802,320.0,242.0
25.03.20,82.00387123600393,355.9961287639967,324.0,269.0
26.03.20,62.44112701967053,314.55887298032917,320.0,249.0
27.03.20,97.05672033951276,391.9432796604874,284.0,291.0
28.03.20,101.62486120007866,324.3751387999207,228.0,205.0
29.03.20,76.2615095003736,303.738490499627,234.0,187.0
30.03.20,113.27717820778884,436.72282179221156,304.0,270.0
31.03.20,88.37232621289414,340.6276737871053,205.0,219.0
01.04.20,124.32026623559517,441.67973376440455,283.0,269.0
02.04.20,111.87474504237909,425.12525495762225,246.0,244.0
03.04.20,135.5702172956266,420.42978270437203,217.0,280.0
04.04.20,120.31552499478377,413.68447500521734,213.0,251.0
05.04.20,104.01800992683789,308.9819900731609,184.0,189.0
06.04.20,126.28875916184522,481.71124083815494,265.0,278.0
07.04.20,119.36804211487885,394.63195788512166,227.0,258.0
08.04.20,122.38155846721847,402.6184415327807,230.0,283.0
09.04.20,99.04831243116146,361.9516875688396,198.0,240.0
10.04.20,123.83233050487894,390.1676694951216,214.0,269.0
11.04.20,106.25752405577731,384.7424759442224,180.0,162.0
12.04.20,90.62430333207078,286.3756966679275,169.0,192.0
13.04.20,127.10978584097305,332.8902141590288,133.0,181.0
14.04.20,95.64252926298641,269.35747073701305,152.0,240.0
15.04.20,95.42170841860252,298.57829158139657,131.0,222.0
16.04.20,89.08152561597556,252.91847438402556,150.0,211.0
17.04.20,109.10396400233806,273.8960359976609,125.0,191.0
18.04.20,97.09712291407594,243.90287708592405,115.0,150.0
